siren,year,company,totalassets,marketable_sec,cash,totaldebt,inventory,creditors,tradedebts,taxes,otherdebts,netincome,netsales
524189479,2016,ACCES TRAVAUX SUD OUEST,60.0,0.0,13.0,38.0,0.0,1.0,37.0,7.0,4.0,0.0,70.0
524189479,2017,ACCES TRAVAUX SUD OUEST,117.0,0.0,18.0,59.0,0.0,1.0,90.0,25.0,1.0,36.0,127.0
524189479,2018,ACCES TRAVAUX SUD OUEST,121.0,0.0,28.0,62.0,0.0,5.0,94.0,24.0,7.0,27.0,118.0
524205283,2015,AF TERRASSEMENT,51.0,0.0,0.0,35.0,2.0,13.0,36.0,11.0,0.0,10.0,192.0
524231743,2015,BATTISTON-VIOLEAU ET ASSOCIES,218.0,0.0,0.0,147.0,0.0,11.0,174.0,87.0,18.0,26.0,200.0
524232980,2014,ICE O,681.0,0.0,158.0,417.0,391.0,160.0,19.0,39.0,5.0,68.0,1450.0
524232980,2015,ICE O,677.0,0.0,121.0,402.0,348.0,121.0,87.0,36.0,44.0,13.0,1159.0
524234911,2015,L'HOTEL PARTICULIER,696.0,0.0,165.0,664.0,0.0,39.0,0.0,43.0,5.0,30.0,777.0
524239605,2014,SOCIETE NOUVELLE OMEGA BATIMENT,881.0,0.0,7.0,769.0,41.0,197.0,563.0,210.0,105.0,170.0,2646.0
524239605,2015,SOCIETE NOUVELLE OMEGA BATIMENT,939.0,0.0,64.0,700.0,61.0,232.0,530.0,227.0,38.0,127.0,2635.0
524239605,2016,SOCIETE NOUVELLE OMEGA BATIMENT,940.0,0.0,0.0,675.0,39.0,241.0,597.0,190.0,32.0,67.0,2812.0
524239605,2017,SOCIETE NOUVELLE OMEGA BATIMENT,1043.0,0.0,0.0,771.0,106.0,343.0,622.0,219.0,36.0,46.0,2869.0
524239738,2014,CLEMENT CONSEIL,941.0,123.0,6.0,156.0,0.0,0.0,0.0,0.0,0.0,-3.0,8.0
524239738,2015,CLEMENT CONSEIL,774.0,104.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,-13.0,0.0
